epoch,accuracy,loss,val_accuracy,val_loss
0,0.8482666611671448,0.5007039904594421,0.9045000076293945,0.3257990777492523
1,0.9055166840553284,0.32599684596061707,0.9161999821662903,0.28891417384147644
2,0.9141666889190674,0.29845818877220154,0.9214000105857849,0.27137166261672974
3,0.9206166863441467,0.27545166015625,0.9269999861717224,0.2507402300834656
4,0.9258000254631042,0.25749078392982483,0.9322999715805054,0.2369040995836258
5,0.9289000034332275,0.2449432909488678,0.9343000054359436,0.2318035215139389
6,0.930816650390625,0.23621274530887604,0.9372000098228455,0.2171185314655304
7,0.9328666925430298,0.23027770221233368,0.9326000213623047,0.222486212849617
8,0.934333324432373,0.22539429366588593,0.9395999908447266,0.21105223894119263
9,0.9345999956130981,0.22151699662208557,0.9394000172615051,0.2129412591457367
0,0.8205333352088928,0.5786232352256775,0.8981999754905701,0.35426950454711914
1,0.8970333337783813,0.3543640673160553,0.9089999794960022,0.32512274384498596
2,0.9025333523750305,0.33103495836257935,0.9110000133514404,0.31180205941200256
3,0.9065999984741211,0.3185938894748688,0.9143000245094299,0.29918017983436584
4,0.9092333316802979,0.3097154200077057,0.9162999987602234,0.2951977252960205
5,0.9124333262443542,0.30279985070228577,0.9169999957084656,0.2914566993713379
6,0.913266658782959,0.29710686206817627,0.9175999760627747,0.2891709804534912
7,0.9150500297546387,0.29182183742523193,0.9190999865531921,0.2845233082771301
8,0.9163500070571899,0.2877274751663208,0.919700026512146,0.28256601095199585
9,0.9175999760627747,0.2844093441963196,0.9192000031471252,0.2867111563682556
