epoch,accuracy,loss,val_accuracy,val_loss
0,0.8182333111763,0.593142032623291,0.8907999992370605,0.3668798506259918
1,0.8918499946594238,0.369768351316452,0.9041000008583069,0.32312920689582825
2,0.9023833274841309,0.33751538395881653,0.9117000102996826,0.30578064918518066
0,0.8414833545684814,0.5222422480583191,0.9132999777793884,0.2983335554599762
1,0.9141666889190674,0.29859307408332825,0.9215999841690063,0.266790509223938
2,0.9215999841690063,0.27335643768310547,0.9283999800682068,0.24952460825443268
3,0.9262833595275879,0.25733885169029236,0.9326000213623047,0.23347702622413635
4,0.9306333065032959,0.24385593831539154,0.934499979019165,0.22656899690628052
5,0.9337499737739563,0.23341518640518188,0.9376999735832214,0.2139882743358612
6,0.9355166554450989,0.22412458062171936,0.9383999705314636,0.20569272339344025
7,0.9380333423614502,0.21755670011043549,0.9409999847412109,0.20045164227485657
8,0.9392333626747131,0.2119273543357849,0.9437000155448914,0.1939656138420105
9,0.9407833218574524,0.2076350748538971,0.9442999958992004,0.19555731117725372
0,0.8357833623886108,0.5625253319740295,0.9004999995231628,0.35458904504776
1,0.8991666436195374,0.3506981134414673,0.9093000292778015,0.3197381794452667
2,0.9074166417121887,0.32022613286972046,0.9192000031471252,0.2970413267612457
3,0.9135666489601135,0.3014999032020569,0.9182999730110168,0.28976839780807495
4,0.9172833561897278,0.2888467311859131,0.9223999977111816,0.2792038917541504
5,0.9193999767303467,0.279262512922287,0.920799970626831,0.2722669839859009
6,0.9209166765213013,0.2717747092247009,0.9253000020980835,0.2672962248325348
7,0.92330002784729,0.2657247483730316,0.9258000254631042,0.26125192642211914
8,0.9243833422660828,0.2600817084312439,0.9283999800682068,0.25311988592147827
9,0.9257833361625671,0.25624385476112366,0.9298999905586243,0.24946311116218567
